"service_id","date","exception_type"
"GO104_160000438","20160406","1"
"GO104_160000438","20160407","1"
"GO104_160000438","20160414","1"
"GO104_160000438","20160415","1"
"GO104_160000438","20160418","1"
"GO104_160000438","20160419","1"
"GO104_160000438","20160420","1"
"GO104_160000438","20160421","1"
"GO104_160000438","20160422","1"
"GO104_160000438","20160428","1"
"GO104_160000438","20160505","1"
"GO104_160000438","20160506","1"
"GO104_160000438","20160509","1"
"GO104_160000438","20160510","1"
"GO104_160000438","20160511","1"
"GO104_160000438","20160512","1"
"GO104_160000438","20160513","1"
"GO104_160000438","20160516","1"
"GO104_160000439","20160307","1"
"GO104_160000439","20160308","1"
"GO104_160000439","20160309","1"
"GO104_160000439","20160310","1"
"GO104_160000439","20160311","1"
"GO104_160000439","20160314","1"
"GO104_160000439","20160315","1"
"GO104_160000439","20160316","1"
"GO104_160000439","20160317","1"
"GO104_160000439","20160318","1"
"GO104_160000439","20160321","1"
"GO104_160000439","20160322","1"
"GO104_160000439","20160323","1"
"GO104_160000439","20160324","1"
"GO104_160000439","20160325","1"
"GO104_160000439","20160328","1"
"GO104_160000439","20160329","1"
"GO104_160000439","20160330","1"
"GO104_160000439","20160331","1"
"GO104_160000439","20160401","1"
"GO104_160000439","20160404","1"
"GO104_160000439","20160405","1"
"GO104_160000439","20160406","1"
"GO104_160000439","20160407","1"
"GO104_160000439","20160411","1"
"GO104_160000439","20160412","1"
"GO104_160000439","20160414","1"
"GO104_160000439","20160415","1"
"GO104_160000439","20160418","1"
"GO104_160000439","20160419","1"
"GO104_160000439","20160420","1"
"GO104_160000439","20160421","1"
"GO104_160000439","20160422","1"
"GO104_160000439","20160425","1"
"GO104_160000439","20160426","1"
"GO104_160000439","20160427","1"
"GO104_160000439","20160428","1"
"GO104_160000439","20160429","1"
"GO104_160000439","20160502","1"
"GO104_160000439","20160503","1"
"GO104_160000439","20160505","1"
"GO104_160000439","20160506","1"
"GO104_160000439","20160509","1"
"GO104_160000439","20160510","1"
"GO104_160000439","20160511","1"
"GO104_160000439","20160512","1"
"GO104_160000439","20160513","1"
"GO104_160000439","20160516","1"
"GO104_160000439","20160517","1"
"GO104_160000439","20160518","1"
"GO104_160000439","20160519","1"
"GO104_160000439","20160520","1"
"GO104_160000440","20160307","1"
"GO104_160000440","20160308","1"
"GO104_160000440","20160309","1"
"GO104_160000440","20160310","1"
"GO104_160000440","20160311","1"
"GO104_160000440","20160314","1"
"GO104_160000440","20160315","1"
"GO104_160000440","20160316","1"
"GO104_160000440","20160317","1"
"GO104_160000440","20160318","1"
"GO104_160000440","20160321","1"
"GO104_160000440","20160322","1"
"GO104_160000440","20160323","1"
"GO104_160000440","20160324","1"
"GO104_160000440","20160325","1"
"GO104_160000440","20160328","1"
"GO104_160000440","20160329","1"
"GO104_160000440","20160330","1"
"GO104_160000440","20160331","1"
"GO104_160000440","20160401","1"
